Judul,Link
"
					Bellingham: Kritik pada Mbappe Dibesar-besarkan                ",https://sport.detik.com/sepakbola/liga-spanyol/d-7658554/bellingham-kritik-pada-mbappe-dibesar-besarkan
"
					4 Pemain Indonesia Pencetak Hat-trick di Piala AFF                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7659158/4-pemain-indonesia-pencetak-hat-trick-di-piala-aff
"
					Liverpool Vs Madrid: Van Dijk Tak Butuh Dipanas-panasi Tren Negatif                ",https://sport.detik.com/sepakbola/uefa/d-7658454/liverpool-vs-madrid-van-dijk-tak-butuh-dipanas-panasi-tren-negatif
"
					'Malaysia Jangan Tiru Indonesia Kirim Tim Muda ke Piala AFF 2024'                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7659124/malaysia-jangan-tiru-indonesia-kirim-tim-muda-ke-piala-aff-2024
"
					Man City Gagal Menang Lagi, Guardiola Tak Boleh Cari-cari Alasan!                ",https://sport.detik.com/sepakbola/uefa/d-7658555/man-city-gagal-menang-lagi-guardiola-tak-boleh-cari-cari-alasan
"
					Video: Man City Diimbangi Feyenoord, Guardiola Lukai Wajah Sendiri!                ",https://20.detik.com/detikupdate/20241127-241127124/video-man-city-diimbangi-feyenoord-guardiola-lukai-wajah-sendiri
"
					Garuda Pertiwi Fokus ke Semifinal Piala AFF 2024 Usai Libas Malaysia                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7659086/garuda-pertiwi-fokus-ke-semifinal-piala-aff-2024-usai-libas-malaysia
"
					Madrid Waspadai Misi Balas Dendam Liverpool                ",https://sport.detik.com/sepakbola/uefa/d-7658455/madrid-waspadai-misi-balas-dendam-liverpool
"
					Piala AFF: Vietnam Gaet Eks Kiper Korsel di Piala Dunia Jadi Pelatih                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7658737/piala-aff-vietnam-gaet-eks-kiper-korsel-di-piala-dunia-jadi-pelatih
"
					Maguire: Wajar Kalau Pemain MU Overthinking                ",https://sport.detik.com/sepakbola/liga-inggris/d-7658514/maguire-wajar-kalau-pemain-mu-overthinking
"
					Ake: Man City Mungkin Kena Mental!                ",https://sport.detik.com/sepakbola/uefa/d-7658638/ake-man-city-mungkin-kena-mental
"
					'Andai ke Arab Saudi, Salah Bakal Lebih Besar daripada Ronaldo'                ",https://sport.detik.com/sepakbola/liga-inggris/d-7658550/andai-ke-arab-saudi-salah-bakal-lebih-besar-daripada-ronaldo
"
					Pelatih Timnas Putri Indonesia Tegaskan Target Juara Piala AFF 2024                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7658902/pelatih-timnas-putri-indonesia-tegaskan-target-juara-piala-aff-2024
"
					Piala AFF 2024: PSM Makassar Sumbang 4 Pemain di Skuad Sementara                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7658618/piala-aff-2024-psm-makassar-sumbang-4-pemain-di-skuad-sementara
"
					Musim Masih Panjang, Liverpool Cuma Mau Terus Jaga Momentum                ",https://sport.detik.com/sepakbola/uefa/d-7658515/musim-masih-panjang-liverpool-cuma-mau-terus-jaga-momentum
"
					Shin Tae-yong di Piala AFF: 1 Final, 2 Edisi, 2 Kekalahan                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7658581/shin-tae-yong-di-piala-aff-1-final-2-edisi-2-kekalahan
"
					Salah Ngeluh soal Kontrak, Slot Bilang Begini                ",https://sport.detik.com/sepakbola/liga-inggris/d-7658468/salah-ngeluh-soal-kontrak-slot-bilang-begini
